filesize	gz_filesize	nrows
5799392	24912447173	287615232
5983448	24912447173	287615232
6674424	28673675223	331041232
6807680	28673675223	331041232
6466580	28116546134	324609344
6526580	28116546134	324609344
5434292	23530625569	271664084
5554120	23530625569	271664084
6570168	28614885582	330362764
6780900	28614885582	330362764
5070736	22049241208	254559312
5232388	22049241208	254559312
5395876	23372952840	269841348
5540444	23372952840	269841348
5122972	22962885792	265106880
5315724	22962885792	265106880
5483644	24334269699	280939880
5709976	24334269699	280939880
6218928	26785555743	309238172
6415812	26785555743	309238172
5367740	23514727686	271478200
5495456	23514727686	271478200
5619960	24080581906	278009244
5769528	24080581906	278009244
5262408	23044183407	266047136
5394932	23044183407	266047136
5262032	23115585489	266871452
5483536	23115585489	266871452
5839664	25163035348	290509780
5950948	25163035348	290509780
5910348	25697925519	296685112
6076176	25697925519	296685112
5246240	22461792412	259323988
5362980	22461792412	259323988
5421160	23361083226	269706200
5535752	23361083226	269706200
6057664	26250807122	303068796
6186540	26250807122	303068796
6024968	26166557057	302095992
6202232	26166557057	302095992
5491664	23773748541	274469740
5794764	23773748541	274469740
5497604	23842064408	275259140
5825608	23842064408	275259140
5564340	24081367780	278021796
5803204	24081367780	278021796
6219792	26977070453	311451784
6552260	26977070453	311451784
5504256	23398331758	270135412
5811592	23398331758	270135412
5460932	23280403326	268774044
5768552	23280403326	268774044
5763400	24252287222	279994136
6074912	24252287222	279994136
5443656	23062193219	266254688
5766688	23062193219	266254688
5355812	22873121113	264071328
5660652	22873121113	264071328
6505820	27968538916	322898284
6950384	27968538916	322898284
5665688	24671456034	284832320
5951728	24671456034	284832320
5446664	23606872661	272541284
5795740	23606872661	272541284
6299280	26313814537	303784032
6667740	26313814537	303784032
5635984	23312194490	269131736
5942020	23312194490	269131736
5454432	22688039058	261931648
5863152	22688039058	261931648
6338828	26403381670	304823224
6721800	26403381670	304823224
5780636	23884030737	275737092
5963656	23884030737	275737092
6060388	25363425235	292816676
6332704	25363425235	292816676
6307328	26173178371	302166080
6599080	26173178371	302166080
6200560	25619048843	295768884
6437636	25619048843	295768884
5506048	23774666102	274481208
5838212	23774666102	274481208
5145252	22110864607	255271972
5402236	22110864607	255271972
5665732	24121337669	278477700
5828632	24121337669	278477700
5216568	22114727669	255311824
5406524	22114727669	255311824
5864592	25306897638	292168668
5971944	25306897638	292168668
6020584	25851043530	298453756
6023552	25851043530	298453756
5424252	23269459836	268649272
5510444	23269459836	268649272
6616888	28892897180	333569280
6838860	28892897180	333569280
6602764	28816304576	332684648
6865972	28816304576	332684648
5525856	23895765155	275880092
5609816	23895765155	275880092
6484216	27918832577	322327204
6658520	27918832577	322327204
5527084	23744991460	274138704
5617972	23744991460	274138704
5517860	23709914144	273733652
5591908	23709914144	273733652
5697188	24657916371	284676564
5889552	24657916371	284676564
5122752	22135545004	255555028
5324824	22135545004	255555028
6278004	26830821068	309759840
6444156	26830821068	309759840
5961832	25434007316	293635020
6112084	25434007316	293635020
5788340	24907428489	287556120
5843432	24907428489	287556120
5823656	24962885338	288196668
5960592	24962885338	288196668
6372752	28066177952	324026436
6602856	28066177952	324026436
6403500	28147538343	324965952
6615904	28147538343	324965952
5794004	25216421427	291124080
6002680	25216421427	291124080
6814192	29632706951	342110200
7029500	29632706951	342110200
5855668	25059698966	289313584
6044552	25059698966	289313584
5700104	24313314391	280696140
5878560	24313314391	280696140
5298964	22678525206	261825532
5516616	22678525206	261825532
5220180	22409124234	258715096
5339420	22409124234	258715096
5747212	24684521146	284983424
5941768	24684521146	284983424
5697212	24546380729	283388660
5847516	24546380729	283388660
5929908	25761268498	297417072
6136716	25761268498	297417072
6777848	29609591872	341846776
7031944	29609591872	341846776
5096700	22294403325	257391700
5289732	22294403325	257391700
6682560	29276405859	338000216
6904804	29276405859	338000216
6268592	27681951093	319590604
6452884	27681951093	319590604
6085596	26925312519	310855028
6240920	26925312519	310855028
6266560	27458705644	317011160
6388572	27458705644	317011160
5299000	23517600654	271511488
5374024	23517600654	271511488
5730420	25338536059	292534248
5805844	25338536059	292534248
5676308	24859041505	286998464
5873596	24859041505	286998464
5484632	23584610619	272284668
5598644	23584610619	272284668
6789092	29298299222	338249040
6884724	29298299222	338249040
6241316	26663777888	307836264
6570740	26663777888	307836264
6113952	26292286715	303547192
6418032	26292286715	303547192
5744392	24776643920	286048460
5990784	24776643920	286048460
5302232	22877847175	264126712
5520520	22877847175	264126712
6537344	28873765210	333350508
6650148	28873765210	333350508
6561544	28840562431	332967384
6814592	28840562431	332967384
5489452	23566468598	272077512
5776316	23566468598	272077512
6382720	27385452812	316168012
6786884	27385452812	316168012
6114920	26404012772	304838024
6098912	26404012772	304838024
5530748	23765995934	274381504
5636220	23765995934	274381504
6219348	27086928539	312719496
6401076	27086928539	312719496
6631048	28845541162	333022532
6782588	28845541162	333022532
5816308	25452379923	293851156
5960652	25452379923	293851156
6087008	26750805295	308841548
6173080	26750805295	308841548
6248336	27015569955	311898000
6501032	27015569955	311898000
5254184	22575290230	260634252
5673548	22575290230	260634252
6068940	26162970361	302054460
6442628	26162970361	302054460
5798720	24863047498	287046280
6127136	24863047498	287046280
5820352	25072505648	289462104
6049172	25072505648	289462104
5497152	23549216277	271876456
5674784	23549216277	271876456
6543372	28150700326	325000128
6583368	28150700326	325000128
5989872	25683035444	296511144
6106196	25683035444	296511144
6377364	27909533631	322218884
6528452	27909533631	322218884
5935692	26003181735	300209768
6165988	26003181735	300209768
6718016	28951909936	334252876
7153492	28951909936	334252876
6126460	26334325514	304032712
6493852	26334325514	304032712
5690488	25617374454	295755184
5635168	25617374454	295755184
5607424	24699341794	285156368
5723604	24699341794	285156368
6917464	29622647359	341995952
7070908	29622647359	341995952
5852912	25243530170	291439132
6233844	25243530170	291439132
6607776	28960873327	334354664
6617036	28960873327	334354664
6201372	27166468203	313638164
6258464	27166468203	313638164
2254224	9876625920	114026468
2235076	9876625920	114026468
6546940	28933082230	334034932
6748108	28933082230	334034932
6006344	25686270791	296547792
6116284	25686270791	296547792
6053864	26059626204	300859036
6210140	26059626204	300859036
5493120	23450769782	270741036
5623600	23450769782	270741036
5885836	25268248617	291722764
6189672	25268248617	291722764
5197880	22347447829	258001636
5295520	22347447829	258001636
5536464	23765505406	274373220
5674644	23765505406	274373220
6393500	27295062864	315120740
6569912	27295062864	315120740
6122920	26136931566	301750328
6251672	26136931566	301750328
5074804	22132011857	255516232
5246932	22132011857	255516232
5388704	23428055994	270479548
5540172	23428055994	270479548
6149296	26622020114	307349660
6319596	26622020114	307349660
5525288	23713790751	273775268
5671440	23713790751	273775268
5840968	25090013537	289664260
5991748	25090013537	289664260
5208144	22365635209	258210872
5385952	22365635209	258210872
6184760	26634905695	307501116
6402876	26634905695	307501116
5497312	23713714085	273775236
5720372	23713714085	273775236
6385720	28036687888	323684520
6545420	28036687888	323684520
5421000	23943846797	276432580
5540744	23943846797	276432580
6441500	28063827933	324001348
6525756	28063827933	324001348
5615296	24251956380	279992140
5741044	24251956380	279992140
5582444	23778721568	274525312
5745852	23778721568	274525312
6434328	27501227586	317500892
6713680	27501227586	317500892
6851888	29201563924	337130752
7080488	29201563924	337130752
6591500	28187096703	325419836
6795408	28187096703	325419836
5670012	24596999762	283975632
5760296	24596999762	283975632
6449224	27742536346	320291728
6663680	27742536346	320291728
5868604	25198164941	290913640
6008876	25198164941	290913640
5980524	25773184488	297552464
6169076	25773184488	297552464
5161092	22163868271	255881424
5355052	22163868271	255881424
5472296	23628656793	272793276
5631244	23628656793	272793276
6424160	27433575644	316719976
6638924	27433575644	316719976
6547636	28009817173	323373224
6786392	28009817173	323373224
6640080	28841528542	332977124
6714876	28841528542	332977124
5930548	25676123850	296431752
6092000	25676123850	296431752
5541724	23786807822	274619084
5700236	23786807822	274619084
6196276	26649142343	307664920
6333688	26649142343	307664920
6583572	28504795369	329092304
6686328	28504795369	329092304
6812980	29437022838	339854700
7006184	29437022838	339854700
5488616	23865086829	275523080
5718248	23865086829	275523080
5313216	23680771231	273395144
5402092	23680771231	273395144
5503408	23631897488	272829684
5687020	23631897488	272829684
5583740	23817903696	274977220
5720580	23817903696	274977220
6780824	29819992684	344274312
6962228	29819992684	344274312
5573700	24572184585	283687544
5681448	24572184585	283687544
6108032	26606144991	307168632
6272936	26606144991	307168632
6297836	27471030546	317153860
6542100	27471030546	317153860
6536964	28198705634	325556924
6797800	28198705634	325556924
5631368	24311384545	280677340
5850084	24311384545	280677340
6775776	29825971864	344344100
7059420	29825971864	344344100
6365076	28078678837	324171500
6548732	28078678837	324171500
6560168	28624085554	330465692
6747620	28624085554	330465692
6532584	28485602363	328867224
6683972	28485602363	328867224
6273084	27344702607	315695236
6502804	27344702607	315695236
6607304	28719051392	331562008
6806320	28719051392	331562008
5438844	23703957958	273663068
5642972	23703957958	273663068
5398900	23617626334	272666232
5539956	23617626334	272666232
5971900	26121481725	301572592
6143240	26121481725	301572592
6251508	27424202544	316613100
6396108	27424202544	316613100
5817484	25655123782	296190744
5994820	25655123782	296190744
5702324	25442396414	293734684
5792820	25442396414	293734684
5759172	25066801646	289394608
5793748	25066801646	289394608
6159184	26414354206	304957196
6254320	26414354206	304957196
6355480	27703082608	319835040
6754056	27703082608	319835040
6215936	26800716001	309417008
6475328	26800716001	309417008
6389508	27220238929	314257304
6594376	27220238929	314257304
5591376	23950513039	276508884
5789240	23950513039	276508884
5630300	24784474645	286138652
5692080	24784474645	286138652
6182768	27164629522	313618012
6317512	27164629522	313618012
5287528	23117696334	266896496
5464576	23117696334	266896496
6389644	27976263694	322988712
6594452	27976263694	322988712
5582284	24491042613	282751716
5693936	24491042613	282751716
6230724	27299670361	315177952
6398444	27299670361	315177952
5079564	22268750181	257095084
5239636	22268750181	257095084
6764100	29713334567	343044268
6989188	29713334567	343044268
5516248	24009196269	277186828
5697748	24009196269	277186828
5558584	24603402762	284047288
5675844	24603402762	284047288
6694776	29272035822	337946268
6902664	29272035822	337946268
5721828	25306075249	292159636
5838624	25306075249	292159636
5715112	24731753958	285530384
5918656	24731753958	285530384
5781116	25057840800	289294724
6064452	25057840800	289294724
5290276	23198409419	267826608
5419820	23198409419	267826608
5691016	25134747045	290181720
5802456	25134747045	290181720
5538708	23901617575	275947504
5669608	23901617575	275947504
5422040	23356759927	269657108
5560848	23356759927	269657108
5826188	25616425941	295744332
5889428	25616425941	295744332
5583760	23730748011	273974872
5788240	23730748011	273974872
5707416	24514017211	283015392
5856864	24514017211	283015392
5636464	24318100802	280753688
5785364	24318100802	280753688
5607368	24257072311	280048268
5791604	24257072311	280048268
5679052	24572589773	283690936
5796432	24572589773	283690936
6629088	28745730831	331871440
6855844	28745730831	331871440
6415568	27748642642	320361048
6793324	27748642642	320361048
6050524	25744825516	297223236
6199472	25744825516	297223236
6314524	27258481510	314699192
6499512	27258481510	314699192
6419652	27700774549	319809756
6526084	27700774549	319809756
5444872	23609482077	272574984
5516400	23609482077	272574984
5687552	24281070887	280324940
5939500	24281070887	280324940
5792444	24779525793	286079448
6031020	24779525793	286079448
6484128	28628210590	330516456
6749144	28628210590	330516456
6444200	28264434383	326317016
6565312	28264434383	326317016
5988080	25520498617	294633500
6156700	25520498617	294633500
5472128	23346321477	269530684
5567352	23346321477	269530684
5996476	26404812674	304845956
6168964	26404812674	304845956
6298664	27706662951	319875996
6546776	27706662951	319875996
5791376	25319646607	292315884
5972288	25319646607	292315884
5784972	25246351583	291469184
5961308	25246351583	291469184
6711184	29255353659	337753860
6940704	29255353659	337753860
6419808	28018332220	323472568
6613064	28018332220	323472568
5865556	25423061659	293511600
6202108	25423061659	293511600
4883236	20929851185	241636528
5178868	20929851185	241636528
5567660	24613844934	284169840
5830116	24613844934	284169840
5321600	23727652811	273939140
5576784	23727652811	273939140
5787132	24986971737	288475860
6079944	24986971737	288475860
5978004	25802921091	297897824
6286304	25802921091	297897824
5927336	26011782316	300308212
6124268	26011782316	300308212
5708016	25099059928	289770796
5893336	25099059928	289770796
5741600	25442981209	293741432
5947312	25442981209	293741432
6320268	27814245441	321118664
6565528	27814245441	321118664
6287132	27561387652	318199504
6707172	27561387652	318199504
5621180	24603945295	284055504
5927044	24603945295	284055504
5489240	23601673087	272481616
5671720	23601673087	272481616
5301208	22733389141	262457680
5463616	22733389141	262457680
6680488	29165363836	336718164
6876540	29165363836	336718164
5794264	25331458556	292454924
6010972	25331458556	292454924
5496508	23937828262	276364596
5543224	23937828262	276364596
5843220	25369861644	292897544
5904104	25369861644	292897544
5440920	23770360137	274431660
5616044	23770360137	274431660
5361264	23481498008	271096748
5535812	23481498008	271096748
6514128	28610937959	330316904
6683944	28610937959	330316904
6116980	26903351670	310601704
6229716	26903351670	310601704
6161356	26635755441	307513744
6273112	26635755441	307513744
5799780	25245961697	291467740
5933640	25245961697	291467740
6556080	28776427208	332226684
6719700	28776427208	332226684
6772384	29871679212	344871628
6978996	29871679212	344871628
6251420	27557923769	318156468
6367380	27557923769	318156468
6516932	28460123946	328572824
6644752	28460123946	328572824
6403876	28267620168	326353552
6551400	28267620168	326353552
6484252	28395845632	327833936
6679780	28395845632	327833936
5446356	23361634422	269712136
5618756	23361634422	269712136
5574104	24043313540	277582452
5756916	24043313540	277582452
6765972	29065012779	335559468
6927824	29065012779	335559468
6954236	29952484067	345805684
7105032	29952484067	345805684
6843828	29925145028	345486712
7018344	29925145028	345486712
5482392	23972491473	276763068
5605528	23972491473	276763068
5563596	23823138535	275039040
5649836	23823138535	275039040
5611140	24216788790	279584084
5747584	24216788790	279584084
5576336	24122101343	278492040
5787956	24122101343	278492040
5730396	24788456411	286185168
5931280	24788456411	286185168
6780360	29613050243	341886716
7017472	29613050243	341886716
6360052	27782133556	320748556
6595912	27782133556	320748556
5849128	25600651071	295560260
6022236	25600651071	295560260
6570040	28663334812	330918832
6776104	28663334812	330918832
5449032	23782270270	274568544
5467724	23782270270	274568544
5631024	24379583005	281465376
5681364	24379583005	281465376
6376820	28208009606	325663772
6563168	28208009606	325663772
6322776	27956691559	322762500
6487200	27956691559	322762500
6810684	29767098865	343662108
7104464	29767098865	343662108
6483344	28210613537	325692396
6596508	28210613537	325692396
6847056	29761428409	343596636
7024676	29761428409	343596636
5632488	24565777653	283612792
5763260	24565777653	283612792
5734604	25162052992	290496692
5965776	25162052992	290496692
6517572	28573540722	329882412
6731660	28573540722	329882412
6208776	27339011972	315629744
6365000	27339011972	315629744
5895612	25711007681	296834284
6085900	25711007681	296834284
5687892	24356161476	281192308
5794056	24356161476	281192308
5148044	22094529130	255081552
5264796	22094529130	255081552
5919056	26078110401	301073968
6086288	26078110401	301073968
6034048	26604054362	307146044
6176912	26604054362	307146044
5584740	23927247397	276240424
5729948	23927247397	276240424
5238440	22406554555	258683712
5339000	22406554555	258683712
6671276	29300764185	338280696
6761068	29300764185	338280696
6006340	25853945467	298486436
6117264	25853945467	298486436
5430460	23395888792	270107936
5619160	23395888792	270107936
5573404	24530555402	283207520
5727860	24530555402	283207520
6307748	27811309192	321084048
6523608	27811309192	321084048
5653060	24359285433	281228120
5869132	24359285433	281228120
6009420	26001208988	300184652
6171072	26001208988	300184652
5724044	24655956153	284653940
5858936	24655956153	284653940
6064688	26108068897	301419672
6184392	26108068897	301419672
5498820	23643016217	272958992
5644792	23643016217	272958992
5673176	24368760429	281338788
5852480	24368760429	281338788
5925520	25855728939	298505128
6111704	25855728939	298505128
6446100	28167455045	325194172
6680060	28167455045	325194172
6617056	29101794655	335982800
6839044	29101794655	335982800
5429848	23869333676	275573524
5591656	23869333676	275573524
6137752	26505707404	306008328
6312056	26505707404	306008328
5802996	25014032142	288787176
6018700	25014032142	288787176
5501708	23584009089	272279968
5588756	23584009089	272279968
6870876	29660441078	342433364
6952536	29660441078	342433364
5595124	24149745070	278809888
5735604	24149745070	278809888
5541240	23954763747	276558188
5681696	23954763747	276558188
5462304	23559752564	271999308
5783100	23559752564	271999308
5225288	22469847424	259416360
5386628	22469847424	259416360
5708408	24810972825	286445552
5915960	24810972825	286445552
6328920	27591639001	318551456
6727792	27591639001	318551456
5731392	24711318441	285292468
5834704	24711318441	285292468
5332736	22965429757	265136268
5443100	22965429757	265136268
6672736	29120648886	336198360
6817272	29120648886	336198360
5384576	23928668053	276257164
5439284	23928668053	276257164
6018196	26280218461	303405764
6189000	26280218461	303405764
5392048	23661411306	273171784
5513712	23661411306	273171784
5547568	24406642697	281777200
5755072	24406642697	281777200
5506612	24169133779	279035380
5650200	24169133779	279035380
5443736	23404386941	270207000
5611744	23404386941	270207000
5839248	25181175185	290720292
5958452	25181175185	290720292
6159436	26442480408	305282344
6286136	26442480408	305282344
5431880	23447485374	270704732
5553884	23447485374	270704732
5273984	23062534290	266259660
5406828	23062534290	266259660
6750620	29507302279	340665776
6932336	29507302279	340665776
5709868	24821921953	286571208
5949136	24821921953	286571208
5507712	23864593630	275519764
5621916	23864593630	275519764
6769676	29136508605	336385304
6980744	29136508605	336385304
6696740	28958612727	334331688
6839692	28958612727	334331688
5884344	26060067191	300865660
6012668	26060067191	300865660
5822236	25733762016	297098424
5914016	25733762016	297098424
5864160	25537855875	294835124
6056976	25537855875	294835124
5440244	23721065066	273860404
5617204	23721065066	273860404
6587332	28780583627	332275976
6866832	28780583627	332275976
5346980	23271769267	268675784
5552488	23271769267	268675784
5823552	25265883126	291695964
5946128	25265883126	291695964
5475264	23734500562	274016080
5573744	23734500562	274016080
5635044	24372353006	281382296
5766484	24372353006	281382296
5717908	24754198384	285790368
5876108	24754198384	285790368
6809120	29451041670	340016516
7063484	29451041670	340016516
5766620	25268330849	291725932
5890704	25268330849	291725932
5936284	25922905279	299280384
6268268	25922905279	299280384
6231168	27272994311	314867712
6378060	27272994311	314867712
5223392	22606059643	260988380
5377712	22606059643	260988380
5231884	22639923350	261378896
5372584	22639923350	261378896
5285192	22793563031	263153672
5453928	22793563031	263153672
6508236	28121921760	324669916
6657796	28121921760	324669916
6244224	26733395120	308636872
6443656	26733395120	308636872
6439460	27462456880	317052944
6634156	27462456880	317052944
5884480	25759590647	297395160
6083288	25759590647	297395160
6024132	26235563324	302890344
6353608	26235563324	302890344
6380252	27996741160	323225276
6581616	27996741160	323225276
6449272	28361899683	327441004
6707724	28361899683	327441004
5553036	23713677187	273774040
5698972	23713677187	273774040
5660436	24126933800	278544820
5829296	24126933800	278544820
6142316	26383607238	304599040
6330360	26383607238	304599040
5926164	25449251149	293810584
6183524	25449251149	293810584
6324056	27233001070	314408068
6694368	27233001070	314408068
5730932	24841897115	286802356
6172488	24841897115	286802356
5759572	24707946572	285253788
5916736	24707946572	285253788
5789576	24964631654	288217088
5962216	24964631654	288217088
5902412	25199667540	290929668
6115300	25199667540	290929668
5479040	23425741490	270450324
5634904	23425741490	270450324
4925636	21206675877	244833464
5250800	21206675877	244833464
5282240	23027511119	265854872
